aX,aY,aZ,gX,gY,gZ
0.208,1.600,-1.786,-44.030,134.120,9.100
-0.056,1.124,-0.409,-11.690,111.860,20.440
0.086,1.619,-0.604,43.330,122.710,60.830
0.279,1.544,-0.196,81.900,91.000,95.760
0.150,1.469,-0.190,12.880,62.370,111.650
-0.114,1.544,-0.355,-3.500,51.380,132.090
-0.307,1.525,-0.310,-7.770,35.000,141.820
-0.346,1.420,-0.551,-31.290,44.380,147.560
-0.323,1.338,-0.464,-68.950,8.260,132.790
-0.323,1.388,-0.706,-98.280,24.010,120.540
-0.297,1.541,-0.602,-125.930,47.180,146.650
0.028,1.538,-0.004,-117.810,29.540,123.760
0.098,1.562,-0.976,-144.060,72.940,139.510
0.048,1.438,-1.137,-139.020,127.960,139.790
0.168,1.415,-0.948,-122.570,124.880,160.230
0.118,1.383,-0.730,-119.980,100.520,158.830
0.069,1.351,-0.821,-128.240,187.460,191.520
0.044,1.249,-0.185,-124.600,147.840,178.710
0.082,1.348,-0.860,-92.680,170.730,213.920
0.258,1.195,-0.643,-77.000,135.520,224.350
0.095,1.319,-0.543,-71.820,295.680,224.560
0.333,1.492,-0.201,-31.640,184.800,317.170
0.113,1.230,-0.464,-11.060,234.220,347.970
-0.695,1.847,0.475,-286.160,327.040,392.630
-1.166,1.234,0.439,-145.740,369.600,359.030
-0.324,0.742,0.605,-58.170,-89.950,253.260
1.105,0.428,-1.101,-19.460,-55.860,175.280
0.756,0.911,-0.393,-129.430,-47.810,139.580
0.324,1.085,-0.066,-151.060,-84.840,120.400
0.137,0.773,-0.148,-236.180,-101.150,100.520
0.161,0.607,-0.516,-269.430,-44.030,99.610
0.264,0.595,-0.315,-213.850,-10.150,105.560
0.573,0.831,-0.031,-158.480,-28.350,157.010
0.781,0.814,-0.177,-96.880,-60.410,209.090
0.799,0.803,0.120,-131.320,-171.220,263.830
0.468,-0.207,-1.598,-260.050,221.620,163.870
0.316,-0.436,-0.314,-171.920,313.740,91.490
0.265,-0.117,-0.012,-209.020,143.850,42.210
0.385,-0.078,0.344,-229.110,110.460,-40.670
0.496,0.019,0.425,-214.900,79.870,-100.660
0.470,-0.145,0.259,-231.980,63.770,-179.060
0.736,0.142,0.293,-229.810,41.440,-176.050
0.814,0.008,0.088,-201.040,42.630,-170.170
0.825,0.081,0.210,-222.110,53.200,-178.780
0.879,0.178,0.305,-250.180,80.780,-167.370
1.089,0.365,0.464,-295.820,110.390,-150.430
1.041,0.368,0.704,-316.540,129.430,-150.640
1.101,0.482,0.837,-340.760,128.240,-132.930
0.732,0.531,0.807,-328.020,134.400,-110.950
0.570,0.696,0.869,-368.760,136.290,-56.350
0.722,0.390,0.409,-329.420,138.740,-30.520
0.860,0.108,0.976,-168.700,123.760,-24.640
1.056,-0.080,0.986,-83.580,98.980,-14.840
1.119,-0.134,0.787,-47.320,80.850,-9.170
0.949,-0.104,0.732,-29.890,76.370,-4.270
0.840,-0.048,0.765,15.540,88.550,-11.410
0.853,-0.098,0.877,39.410,62.020,-5.670
0.661,-0.078,0.970,37.800,62.300,-10.290
0.755,-0.065,0.915,33.950,55.580,-19.460
0.710,-0.123,0.920,32.620,67.060,-31.430
0.663,-0.127,0.944,5.950,88.270,-43.610
0.655,-0.108,0.950,-18.340,108.920,-57.050
0.649,-0.138,1.052,-51.870,135.730,-57.400
0.757,-0.041,1.114,-97.580,133.140,-55.020
0.704,-0.231,1.141,-21.490,113.610,-66.360
0.700,-0.063,1.151,88.690,87.360,-68.180
0.626,-0.033,1.228,124.740,46.340,-89.810
0.507,-0.049,1.259,103.530,20.160,-100.660
0.568,-0.103,1.090,89.040,11.550,-94.220
0.518,-0.089,1.051,98.630,4.340,-105.910
0.511,-0.089,1.063,88.690,-1.960,-114.380
0.496,-0.039,1.043,73.290,-5.390,-119.280
0.478,-0.008,1.001,62.020,-2.380,-127.470
0.444,0.008,0.959,45.990,-2.590,-139.370
0.411,0.036,0.908,31.710,-4.340,-152.740
0.368,0.078,0.871,23.240,-6.650,-159.740
0.348,0.125,0.826,13.930,-9.870,-166.040
0.307,0.174,0.746,10.640,-11.480,-169.820
0.270,0.228,0.711,9.590,-12.600,-173.040
0.236,0.276,0.688,10.850,-15.470,-175.420
0.210,0.343,0.685,12.390,-17.430,-174.440
0.180,0.355,0.671,6.020,-18.690,-176.190
0.152,0.389,0.660,1.960,-18.690,-176.680
0.110,0.436,0.662,-5.530,-17.710,-174.160
0.054,0.516,0.640,-4.480,-19.460,-170.450
0.030,0.541,0.623,-7.770,-19.880,-165.830
-0.031,0.597,0.577,-6.510,-17.570,-163.100
-0.094,0.602,0.531,-0.560,-19.180,-160.370
-0.168,0.602,0.479,2.310,-25.480,-157.430
-0.218,0.619,0.436,6.090,-24.360,-150.850
-0.260,0.645,0.414,7.350,-20.370,-140.070
-0.297,0.714,0.376,1.120,-15.190,-131.670
-0.332,0.756,0.335,0.840,-7.420,-121.520
-0.489,0.780,0.296,-0.420,4.060,-111.020
-0.437,0.791,0.287,-1.610,12.110,-100.520
-0.512,0.806,0.271,1.190,14.630,-90.440
-0.585,0.865,0.250,7.490,11.550,-81.340
-0.651,0.891,0.219,13.370,8.960,-72.730
-0.703,0.912,0.208,16.450,8.890,-67.550
-0.779,0.909,0.122,19.460,6.300,-62.930
-0.855,0.923,0.015,31.640,2.940,-65.030
-0.887,0.962,-0.052,49.140,7.840,-67.130
-0.840,1.016,-0.094,78.680,10.010,-67.200
-0.825,1.098,-0.052,84.630,8.330,-65.940
-0.737,1.144,-0.008,85.470,4.760,-61.460
-0.652,1.199,0.024,79.450,4.270,-57.260
-0.587,1.246,0.041,69.090,8.820,-52.710
-0.528,1.292,0.058,57.120,14.770,-50.050
-0.483,1.370,0.122,44.800,18.550,-43.470
-0.456,1.416,0.222,36.890,17.290,-40.390
-0.453,1.446,0.319,36.400,8.820,-33.390
-0.430,1.473,0.371,45.290,-6.020,-18.340
-0.383,1.462,0.334,47.530,-21.910,-4.270
-0.349,1.439,0.259,45.710,-26.880,8.540
-0.338,1.385,0.176,36.050,-29.120,22.890
-0.350,1.313,0.107,23.310,-26.670,24.850
-0.382,1.240,0.030,8.470,-20.440,20.090
-0.428,1.184,-0.041,-2.170,-13.300,12.530
-0.466,1.155,-0.030,-9.870,-7.070,4.340

1.072,-0.205,1.188,11.480,-0.070,35.070
1.098,-0.235,1.227,0.280,0.280,40.180
0.988,-0.303,1.178,5.250,2.450,32.340
0.901,-0.393,1.141,20.860,6.020,12.670
0.858,-0.452,1.142,33.530,9.380,-3.500
0.845,-0.456,1.141,41.650,16.590,-15.610
0.808,-0.445,1.163,51.660,22.120,-27.790
0.792,-0.420,1.159,60.130,24.640,-39.410
0.781,-0.396,1.181,59.220,22.820,-57.120
0.748,-0.326,1.182,59.850,18.900,-68.740
0.740,-0.252,1.171,61.180,14.000,-78.750
0.749,-0.204,1.000,59.010,12.320,-88.270
0.754,-0.154,1.078,56.000,14.000,-97.230
0.748,-0.087,1.055,50.750,15.820,-103.040
0.732,-0.014,1.039,48.230,16.870,-106.540
0.711,0.058,1.026,46.550,17.920,-107.240
0.693,0.137,1.012,43.540,18.690,-108.150
0.654,0.175,0.986,38.710,23.100,-110.880
0.623,0.206,0.957,36.330,26.110,-113.260
0.551,0.227,0.935,32.550,27.440,-118.650
0.472,0.238,0.887,28.210,28.910,-123.200
0.421,0.244,0.835,28.630,31.290,-125.090
0.376,0.266,0.786,30.520,35.350,-124.950
0.322,0.281,0.752,31.920,39.970,-123.900
0.260,0.310,0.748,26.320,43.610,-123.550
0.210,0.342,0.744,21.350,46.550,-121.450
0.173,0.375,0.741,20.300,49.770,-116.270
0.133,0.405,0.735,13.580,58.660,-104.440
0.111,0.444,0.724,7.700,63.000,-91.280
0.052,0.450,0.730,3.290,70.910,-76.300
0.026,0.496,0.725,-5.880,74.830,-63.280
-0.005,0.559,0.728,-14.420,79.450,-56.420
-0.069,0.603,0.699,-8.120,72.870,-55.020
-0.244,0.627,0.680,16.030,53.830,-53.830
-0.338,0.619,0.678,45.850,35.770,-48.860
-0.414,0.606,0.630,57.680,4.130,-19.950
-0.518,0.585,0.562,57.960,-23.590,-22.610
-0.633,0.582,0.418,54.110,-46.970,-18.760
-0.712,0.585,0.307,48.930,-26.460,-3.150
-0.747,0.616,0.212,52.570,-23.730,1.330
-0.802,0.637,0.172,43.820,-20.580,14.700
-0.804,0.690,0.116,40.810,-10.570,22.330
-0.850,0.765,0.064,45.500,-2.100,27.020
-0.833,0.880,0.054,47.880,8.890,27.860
-0.817,0.975,0.068,44.870,31.080,24.640
-0.892,1.039,0.098,50.750,35.280,11.970
-0.923,1.058,0.098,58.310,16.730,-3.640
-0.891,1.049,0.185,72.730,2.100,-29.330
-0.870,1.081,0.254,82.600,-18.200,-50.750
-0.790,1.137,0.312,97.510,-18.270,-65.170
-0.634,1.186,0.362,100.730,-19.110,-61.250
-0.553,1.261,0.404,95.900,-25.970,-61.460
-0.453,1.317,0.384,83.370,-28.840,-38.710
-0.356,1.403,0.338,62.650,-27.650,-44.170
-0.288,1.471,0.286,52.570,-25.690,-31.080
-0.243,1.498,0.259,46.900,-24.150,-15.400
-0.198,1.523,0.262,42.910,-22.470,1.260
-0.168,1.545,0.280,39.550,-21.070,14.070
-0.163,1.544,0.291,36.120,-15.750,23.100
-0.193,1.479,0.298,29.470,-7.910,31.570
-0.237,1.419,0.304,18.270,1.400,34.790
-0.277,1.370,0.306,11.760,12.950,33.600
-0.349,1.320,0.332,14.700,19.180,31.780
-0.392,1.252,0.382,13.020,19.110,30.520
-0.404,1.179,0.405,-2.520,19.880,30.590
-0.454,1.118,0.421,-21.770,22.610,27.160
-0.514,1.039,0.381,-38.640,24.220,21.420
-0.571,1.017,0.355,-51.870,28.840,14.630
-0.641,1.023,0.342,-70.000,34.440,11.060
-0.682,1.030,0.322,-84.420,45.080,14.560
-0.744,1.038,0.325,-97.510,54.320,20.090
-0.759,1.053,0.307,-110.250,25.410,30.310
-0.785,1.083,0.341,-108.150,-0.840,24.640
-0.740,1.064,0.365,-106.960,-14.490,23.590
-0.619,1.094,0.400,-100.310,-18.690,19.530
-0.542,1.116,0.373,-104.720,-15.050,16.940
-0.543,1.169,0.321,-115.290,-11.270,20.370
-0.546,1.221,0.264,-124.390,-7.420,41.020
-0.573,1.296,0.232,-134.050,1.190,58.170
-0.579,1.335,0.210,-129.010,12.740,73.920
-0.595,1.323,0.232,-116.690,19.390,95.480
-0.590,1.266,0.378,-102.760,18.410,123.200
-0.621,1.185,0.504,-97.650,2.520,144.830
-0.568,0.985,0.591,-94.710,-19.320,151.200
-0.421,0.771,0.701,-99.120,-42.700,148.960
-0.336,0.503,0.869,-118.510,-57.400,141.610
-0.267,0.348,0.919,-129.570,-68.670,136.150
-0.208,0.271,0.927,-136.920,-71.540,130.550
-0.112,0.251,0.891,-161.980,-64.190,122.990
-0.085,0.280,0.887,-189.910,-46.200,120.330
-0.062,0.339,0.790,-205.940,-36.540,109.620
-0.038,0.359,0.780,-199.920,-23.520,95.900
-0.021,0.383,0.777,-169.470,-16.170,87.780
-0.025,0.392,0.800,-130.550,-26.040,85.960
0.022,0.348,0.845,-101.220,-39.480,85.400
0.092,0.266,0.884,-71.610,-55.720,85.330
0.132,0.020,0.875,-32.060,-74.830,78.960
0.209,0.026,0.855,-27.090,-87.360,69.650
0.301,0.023,0.821,-41.790,-82.530,61.810
0.403,0.064,0.791,-60.060,-67.340,59.360
0.481,0.114,0.761,-77.630,-45.640,59.220
0.508,0.147,0.755,-86.590,-30.310,60.760
0.534,0.182,0.787,-86.590,-18.970,68.040
0.546,0.232,0.825,-78.960,-13.300,74.340
0.535,0.238,0.827,-57.820,-17.640,79.590
0.522,0.195,0.844,-35.350,-21.630,88.200
0.514,0.116,0.849,-14.770,-34.440,95.130
0.515,0.040,0.838,-1.820,-45.080,94.500
0.556,-0.036,0.870,16.100,-47.950,91.840
0.620,-0.227,0.894,28.490,-47.040,94.640
0.683,-0.207,0.911,27.930,-39.410,99.050
0.754,-0.267,0.938,26.600,-31.360,102.060
0.797,-0.351,0.971,27.230,-25.340,105.280
0.858,-0.447,1.030,26.530,-11.060,103.670
0.865,-0.560,1.098,25.060,-0.770,96.880
0.911,-0.649,1.129,22.680,-1.680,75.530
0.917,-0.782,1.159,45.360,0.770,76.930
0.910,-0.925,1.181,74.970,8.470,69.300
0.999,-1.006,1.269,90.510,20.370,58.730

0.942,-1.073,1.366,93.800,16.240,50.890
0.836,-1.087,1.379,78.960,17.640,40.600
0.679,-1.106,1.377,45.920,13.580,19.880
0.485,-1.074,1.445,19.110,16.730,-27.160
0.384,-0.942,1.418,-10.710,8.960,-45.850
0.336,-0.783,1.353,-15.750,0.280,-83.020
0.371,-0.645,1.328,-16.940,-3.290,-104.720
0.470,-0.472,1.253,-18.060,-9.030,-116.900
0.541,-0.303,1.200,-16.730,-9.240,-123.130
0.628,-0.115,1.181,-10.850,-7.700,-115.220
0.642,-0.019,1.159,0.980,-6.510,-111.300
0.687,0.047,1.118,11.620,-6.860,-107.030
0.734,0.091,1.053,25.410,-9.240,-101.290
0.775,0.111,1.021,40.110,-11.550,-92.190
0.801,0.118,0.987,53.270,-12.320,-80.920
0.819,0.072,0.960,66.920,-9.450,-73.010
0.813,0.024,0.946,75.320,-6.440,-65.240
0.801,-0.034,0.927,77.000,-1.540,-59.780
0.773,-0.103,0.908,71.540,2.870,-56.910
0.728,-0.153,0.881,57.890,8.540,-59.570
0.669,-0.190,0.837,50.190,13.930,-67.340
0.612,-0.199,0.796,45.500,18.410,-76.230
0.547,-0.176,0.776,45.710,21.700,-83.720
0.504,-0.144,0.755,44.170,22.050,-90.160
0.500,-0.114,0.725,43.540,23.240,-95.410
0.492,-0.081,0.707,43.890,23.170,-100.590
0.449,-0.033,0.678,46.270,22.540,-108.080
0.414,0.006,0.643,46.410,25.060,-114.100
0.379,0.066,0.608,48.230,31.570,-118.370
0.344,0.129,0.589,46.830,39.410,-120.960
0.308,0.225,0.563,44.940,49.350,-119.630
0.256,0.292,0.529,46.830,62.440,-116.060
0.223,0.338,0.543,47.600,67.760,-110.320
0.190,0.376,0.557,48.440,68.600,-101.850
0.151,0.411,0.570,52.150,67.760,-91.280
0.099,0.447,0.591,57.890,66.010,-73.990
0.025,0.467,0.609,62.020,58.520,-60.200
-0.050,0.481,0.645,62.580,43.470,-46.830
-0.116,0.488,0.634,62.860,25.550,-37.310
-0.212,0.492,0.594,70.350,13.020,-32.130
-0.275,0.500,0.573,71.610,7.490,-27.090
-0.342,0.527,0.548,69.160,6.650,-1.260
-0.430,0.562,0.515,67.130,7.700,-11.550
-0.528,0.593,0.501,66.290,6.510,-10.710
-0.601,0.610,0.484,63.700,1.960,-14.840
-0.693,0.622,0.516,67.480,-2.940,-27.300
-0.762,0.670,0.536,61.950,-11.620,-44.030
-0.730,0.725,0.511,51.590,-19.040,-52.010
-0.727,0.855,0.496,35.980,-21.210,-47.740
-0.706,0.946,0.491,18.970,-20.440,-45.710
-0.694,1.026,0.430,15.540,-16.870,-42.560
-0.664,1.115,0.341,23.730,-10.920,-36.610
-0.595,1.225,0.326,34.930,-13.440,-27.230
-0.558,1.318,0.341,46.760,-16.240,-20.020
-0.533,1.337,0.346,55.510,-17.290,-19.810
-0.482,1.319,0.498,58.170,-21.070,-17.990
-0.434,1.290,0.398,56.560,-23.730,-15.260
-0.419,1.279,0.423,60.130,-21.000,-21.000
-0.409,1.284,0.461,66.570,-17.850,-27.720
-0.380,1.267,0.506,64.890,-16.310,-27.930
-0.347,1.265,0.510,58.520,-20.160,-28.420
-0.309,1.288,0.477,50.680,-26.810,-29.960
-0.243,1.314,0.457,47.810,-28.210,-28.840
-0.177,1.364,0.447,35.910,-26.390,-21.630
-0.119,1.423,0.436,27.160,-21.210,-14.420
-0.075,1.469,0.416,19.320,-14.700,-8.330
-0.058,1.488,0.399,17.990,1.400,-0.490
-0.081,1.494,0.425,15.680,7.420,4.340
-0.100,1.463,0.437,16.660,11.970,7.140
-0.123,1.461,0.466,26.880,16.100,13.860
-0.126,1.433,0.476,31.220,14.910,23.590
-0.180,1.363,0.496,33.810,13.720,24.080
-0.223,1.296,0.516,26.320,13.090,26.040
-0.273,1.211,0.539,20.650,17.850,27.160
-0.327,1.133,0.550,3.920,26.810,24.850
-0.435,1.094,0.537,-13.790,33.880,17.780
-0.534,1.065,0.511,-38.990,38.360,6.930
-0.628,1.072,0.471,-64.470,38.780,-5.880
-0.678,1.060,0.440,-78.890,37.800,-25.410
-0.676,1.063,0.411,-80.150,30.870,-31.150
-0.644,1.062,0.395,-86.660,21.630,-28.840
-0.623,1.089,0.354,-104.090,18.060,-18.340
-0.581,1.176,0.311,-119.490,10.220,-1.260
-0.574,1.297,0.296,-134.120,2.450,23.870
-0.599,1.415,0.277,-136.920,-2.590,31.710
-0.616,1.473,0.332,-108.430,0.280,28.980
-0.478,1.415,0.487,-66.570,0.490,33.040
-0.374,1.338,0.669,-51.450,-5.320,45.710
-0.343,1.224,0.786,-56.350,-15.890,56.630
-0.316,1.052,0.834,-77.630,-30.310,74.130
-0.317,0.950,0.806,-89.880,-42.910,90.580
-0.327,0.894,0.758,-111.580,-50.120,104.930
-0.373,0.851,0.671,-138.530,-53.200,116.410
-0.414,0.797,0.636,-154.000,-52.850,125.720
-0.416,0.709,0.621,-148.400,-46.550,132.720
-0.417,0.593,0.615,-137.760,-39.760,135.870
-0.385,0.448,0.618,-119.910,-38.290,133.350
-0.266,0.283,0.646,-108.920,-37.800,127.400
-0.168,0.147,0.710,-96.670,-39.270,122.010
-0.091,0.025,0.777,-92.610,-40.250,102.970
-0.009,-0.005,0.792,-109.480,-41.370,86.310
0.058,0.027,0.808,-112.280,-40.810,75.110
0.141,0.058,0.850,-104.020,-44.030,68.180
0.204,0.090,0.889,-99.540,-42.350,61.250
0.237,0.135,0.892,-101.990,-33.600,57.610
0.239,0.162,0.876,-96.810,-30.380,56.630
0.228,0.203,0.877,-81.340,-30.730,35.980
0.250,0.199,0.899,-56.000,-37.030,52.290
0.299,0.193,0.921,-44.100,-45.570,53.130
0.372,0.195,0.930,-40.320,-57.540,57.820
0.430,0.190,0.903,-44.730,-65.450,60.410
0.457,0.189,0.840,-48.230,-68.110,61.040
0.492,0.159,0.783,-51.030,-66.290,62.580
0.535,0.104,0.762,-56.140,-59.430,67.760
0.594,0.079,0.761,-57.330,-51.730,74.970
0.602,0.056,0.786,-57.820,-43.610,83.160
0.646,0.009,0.769,-56.770,-37.170,86.940
0.670,-0.029,0.778,-47.180,-29.890,76.370
0.744,-0.125,0.837,-36.820,-30.940,82.880

1.019,-0.675,0.852,17.010,-23.800,74.060
1.089,-0.791,0.843,37.030,-15.330,68.180
1.187,-0.862,0.851,56.910,-3.640,65.660
1.249,-0.974,0.865,79.520,12.810,77.280
1.332,-1.062,1.017,72.100,29.610,94.500
1.175,-1.137,1.100,74.130,28.770,98.560
1.023,-1.214,1.119,50.260,32.690,81.760
0.662,-1.250,1.129,40.460,28.280,50.680
0.460,-1.272,1.136,43.330,18.060,7.420
0.388,-1.199,1.134,23.240,9.800,-40.600
0.382,-1.085,1.096,7.560,9.310,-75.950
0.466,-0.781,1.039,1.330,9.940,-109.060
0.564,-0.676,1.017,4.200,17.570,-123.270
0.641,-0.524,0.975,18.970,18.410,-126.840
0.725,-0.392,0.958,32.690,18.550,-124.390
0.782,-0.282,0.912,45.640,22.540,-120.470
0.777,-0.189,0.889,59.220,25.340,-116.760
0.794,-0.117,0.858,78.680,27.440,-111.860
0.862,-0.044,0.869,103.320,29.750,-97.790
0.888,-0.024,0.899,121.450,32.060,-86.100
0.866,-0.030,0.935,139.370,31.640,-79.800
0.851,-0.086,0.969,139.090,30.380,-76.230
0.780,-0.161,0.932,122.360,35.770,-75.390
0.711,-0.218,0.892,107.940,42.630,-79.380
0.635,-0.255,0.886,97.160,45.150,-105.770
0.578,-0.257,0.886,79.380,46.340,-101.010
0.524,-0.236,0.871,73.080,47.040,-106.890
0.490,-0.202,0.854,61.250,46.690,-111.790
0.416,-0.163,0.818,51.100,45.290,-116.060
0.353,-0.116,0.781,47.670,45.150,-119.630
0.319,-0.073,0.725,47.110,47.180,-124.670
0.258,0.037,0.700,44.660,52.990,-132.720
0.190,0.124,0.671,47.320,57.820,-137.550
0.163,0.240,0.656,48.930,62.020,-141.960
0.157,0.334,0.640,54.250,63.770,-142.030
0.113,0.399,0.628,56.980,64.750,-138.040
0.078,0.444,0.596,63.910,65.310,-130.900
0.059,0.480,0.569,70.280,62.790,-120.610
0.020,0.500,0.563,73.710,58.450,-108.220
-0.055,0.527,0.549,68.110,53.340,-82.740
-0.164,0.548,0.514,62.650,47.040,-63.280
-0.256,0.553,0.484,59.920,36.330,-45.150
-0.413,0.557,0.442,58.450,27.860,-32.480
-0.514,0.579,0.350,64.190,30.170,-23.940
-0.602,0.607,0.293,75.110,35.840,-20.650
-0.686,0.623,0.237,96.530,38.780,-22.960
-0.788,0.651,0.242,107.100,42.140,-21.840
-0.874,0.695,0.220,107.660,41.510,-24.710
-0.956,0.746,0.218,101.080,44.590,-29.960
-1.068,0.814,0.215,91.070,43.890,-39.200
-1.092,0.894,0.249,75.110,38.430,-52.920
-1.058,0.996,0.256,55.370,35.490,-66.220
-0.989,1.091,0.261,69.230,33.180,-76.930
-0.895,1.249,0.310,61.040,30.800,-76.440
-0.802,1.324,0.353,72.030,21.350,-71.260
-0.754,1.348,0.392,80.430,9.940,-66.920
-0.710,1.340,0.388,94.640,-7.980,-60.480
-0.644,1.355,0.390,102.410,-20.370,-49.560
-0.609,1.384,0.356,111.860,-33.180,-33.950
-0.613,1.356,0.308,119.630,-41.790,-31.500
-0.592,1.327,0.243,116.620,-45.780,-32.760
-0.537,1.326,0.201,108.640,-39.620,-33.880
-0.520,1.325,0.175,94.850,-27.720,-36.960
-0.486,1.355,0.161,77.910,-15.190,-40.530
-0.447,1.405,0.162,64.890,-0.560,-44.030
-0.399,1.423,0.189,54.740,16.590,-43.960
-0.382,1.423,0.249,42.560,32.060,-40.880
-0.382,1.412,0.343,23.800,40.530,-36.400
-0.409,1.400,0.380,13.580,44.520,-36.890
-0.444,1.418,0.439,-4.550,44.800,-26.810
-0.458,1.401,0.500,9.590,44.590,-14.770
-0.442,1.368,0.537,31.360,39.480,-2.100
-0.474,1.326,0.581,45.290,35.070,0.420
-0.491,1.260,0.580,46.270,26.880,4.620
-0.505,1.208,0.586,31.080,25.410,11.060
-0.545,1.173,0.571,12.180,25.970,16.310
